metric,mean,count
round,3.0,30.0
client_id,5.0,30.0
silhouette_global,-0.46689245946594354,30.0
silhouette_local,-1.0,30.0
acc_superTree_localTest,1.0,30.0
prec_superTree_localTest,1.0,30.0
rec_superTree_localTest,1.0,30.0
f1_superTree_localTest,1.0,30.0
acc_superTree_globalTest,0.631578947368421,30.0
prec_superTree_globalTest,0.3988919667590026,30.0
rec_superTree_globalTest,0.631578947368421,30.0
f1_superTree_globalTest,0.48896434634974517,30.0
acc_localTree_localTest,1.0,30.0
prec_localTree_localTest,1.0,30.0
rec_localTree_localTest,1.0,30.0
f1_localTree_localTest,1.0,30.0
acc_localTree_globalTest,0.631578947368421,30.0
prec_localTree_globalTest,0.3988919667590026,30.0
rec_localTree_globalTest,0.631578947368421,30.0
f1_localTree_globalTest,0.48896434634974517,30.0
jaccard_cov,0.7396912063578731,27.0
cov_factual_local,1.0,27.0
cov_factual_global,0.7396912063578731,27.0
cov_interseccion,0.7396912063578731,27.0
cov_union,1.0,27.0
ratio_has_factual,0.9,27.0
